City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Tynda,RU,55.1667,124.7167,-15.18,77,100,8.79,overcast clouds
259,Reyes,BO,-14.3167,-67.3833,72.27,90,100,3.6,overcast clouds
260,Nanortalik,GL,60.1432,-45.2371,21.15,82,13,6.49,few clouds
261,Krasnoselkup,RU,65.7,82.4667,-20.47,96,99,5.14,overcast clouds
262,Kazerun,IR,29.6195,51.6541,51.08,44,0,3.31,clear sky
263,Klaksvik,FO,62.2266,-6.589,32.92,58,100,23.35,overcast clouds
264,Kaeo,NZ,-35.1,173.7833,70.54,75,44,10.98,scattered clouds
265,Lukovetskiy,RU,64.2956,41.9211,5.59,90,100,10.78,light snow
266,Walvis Bay,NA,-22.9575,14.5053,59.47,94,100,3.78,overcast clouds
267,Balclutha,NZ,-46.2339,169.75,77.74,40,37,9.51,scattered clouds
268,Sahuaripa,MX,29.05,-109.2333,55.87,78,0,5.46,clear sky
269,Gigmoto,PH,13.7796,124.39,83.61,69,97,5.08,overcast clouds
270,Umm Lajj,SA,25.0213,37.2685,73.26,43,2,5.46,clear sky
271,Mount Isa,AU,-20.7333,139.5,94.77,13,1,11.5,clear sky
272,Camacupa,AO,-12.0167,17.4833,63.32,79,100,3.15,overcast clouds
273,Arauca,CO,7.0847,-70.7591,76.96,88,20,0.0,few clouds
274,Evensk,RU,61.95,159.2333,1.36,96,100,7.2,light snow
275,Eureka,US,40.8021,-124.1637,44.2,91,58,1.01,broken clouds
276,Konde,TZ,-4.95,39.75,76.95,86,17,5.48,few clouds
277,Swanzey,US,42.8698,-72.2818,26.6,73,0,9.22,clear sky
278,Port Lincoln,AU,-34.7333,135.8667,64.09,54,16,19.13,few clouds
279,Victor Harbor,AU,-35.5667,138.6167,62.67,88,57,3.0,broken clouds
280,Nishihara,JP,26.1842,127.7558,69.46,69,75,19.57,broken clouds
281,Kattivakkam,IN,13.2167,80.3167,78.89,81,5,5.97,clear sky
282,Berlevag,NO,70.8578,29.0864,21.15,49,100,18.41,overcast clouds
283,Vilhena,BR,-12.7406,-60.1458,69.19,93,39,1.61,scattered clouds
284,Lagos,NG,6.5833,3.75,77.07,88,83,0.96,broken clouds
285,Duzce,TR,40.8389,31.1639,54.0,71,74,6.44,broken clouds
286,Praya,CV,14.9215,-23.5087,75.74,64,0,11.5,clear sky
287,Amazar,RU,53.858,120.875,-7.49,63,100,8.86,overcast clouds
288,Sakakah,SA,29.9697,40.2064,56.89,67,6,1.14,clear sky
289,Porto Tolle,IT,44.9497,12.3245,42.89,61,100,12.26,overcast clouds
290,Saskylakh,RU,71.9167,114.0833,-7.71,97,100,5.41,overcast clouds
291,Petrove,UA,48.3247,33.2562,35.15,81,100,3.85,overcast clouds
292,Torbay,CA,47.6666,-52.7314,34.57,95,100,8.05,overcast clouds
293,Sambava,MG,-14.2667,50.1667,74.03,88,10,9.26,light rain
294,Lata,PT,40.1629,-8.3327,63.07,97,100,7.2,overcast clouds
295,Garwolin,PL,51.8975,21.6147,31.84,92,100,8.01,overcast clouds
296,Mao,ES,39.8885,4.2658,66.76,77,0,12.66,clear sky
297,Fort Morgan,US,40.2503,-103.8,30.85,93,0,23.02,clear sky
298,Singleton,AU,-32.5667,151.1833,83.98,26,0,10.0,clear sky
299,Sherlovaya Gora,RU,50.5667,116.25,-14.1,75,100,13.85,overcast clouds
300,Kampot,KH,10.6167,104.1833,80.65,79,100,8.77,overcast clouds
301,Nangwa,TZ,-4.4667,35.45,55.51,96,9,4.32,clear sky
302,Riohacha,CO,11.5444,-72.9072,74.48,87,13,8.34,few clouds
303,Umarkot,PK,25.3616,69.7362,63.18,34,0,9.84,clear sky
304,Pangnirtung,CA,66.1451,-65.7125,7.2,93,100,3.11,overcast clouds
305,Champerico,GT,14.3,-91.9167,78.51,74,100,3.58,overcast clouds
306,Salalah,OM,17.0151,54.0924,66.29,32,0,6.91,clear sky
307,Sitka,US,57.0531,-135.33,37.29,87,100,8.05,light rain
308,Levice,SK,48.2156,18.6071,28.49,90,22,5.68,few clouds
309,Winnemucca,US,40.973,-117.7357,30.25,86,100,11.5,light snow
310,Te Anau,NZ,-45.4167,167.7167,72.5,33,84,9.73,light rain
311,Tenenkou,ML,14.4572,-4.9169,69.89,14,45,8.46,scattered clouds
312,Tahe,CN,52.3333,124.7333,-2.61,92,100,10.49,light snow
313,Tateyama,JP,34.9833,139.8667,49.1,87,100,6.71,overcast clouds
314,Jumla,NP,29.2747,82.1838,40.71,16,0,5.32,clear sky
315,Khatanga,RU,71.9667,102.5,2.82,89,100,19.04,overcast clouds
316,Fort Nelson,CA,58.8053,-122.7002,2.53,96,76,1.68,broken clouds
317,Shache,CN,38.4167,77.2406,23.05,55,20,2.51,few clouds
318,Henties Bay,NA,-22.116,14.2845,58.75,94,100,4.14,overcast clouds
319,Lazaro Cardenas,MX,17.9583,-102.2,75.52,81,3,3.47,clear sky
320,Vanimo,PG,-2.6741,141.3028,77.32,91,100,3.94,light rain
321,Wanxian,CN,30.8039,108.3897,52.11,58,97,4.85,overcast clouds
322,Tessalit,ML,20.1986,1.0114,68.25,13,0,7.09,clear sky
323,Bethel,US,41.3712,-73.414,29.75,67,0,5.75,clear sky
324,Jacmel,HT,18.2342,-72.5347,78.64,83,0,4.09,clear sky
325,Adrar,MR,20.5022,-10.0711,70.81,14,0,7.94,clear sky
326,Luanda,AO,-8.8368,13.2343,78.8,78,75,1.14,broken clouds
327,Lavrentiya,RU,65.5833,-171.0,1.78,89,6,10.85,clear sky
328,Eyrarbakki,IS,63.863,-21.1481,26.01,52,8,9.01,clear sky
329,Karratha,AU,-20.7377,116.8463,97.11,18,70,12.77,broken clouds
330,Lugovoy,KZ,42.9472,72.7644,13.82,81,9,3.36,clear sky
331,Waipawa,NZ,-41.4122,175.5153,70.88,61,16,7.0,few clouds
332,Havoysund,NO,70.9963,24.6622,25.03,76,100,11.16,overcast clouds
333,Rovaniemi,FI,66.5,25.7167,-2.79,84,0,11.5,clear sky
334,Atar,MR,20.5169,-13.0499,75.33,15,0,7.2,clear sky
335,Ugento,IT,39.9263,18.1574,51.08,69,100,8.66,overcast clouds
336,Munak,IN,29.5187,76.8486,55.08,34,0,7.72,clear sky
337,Naze,JP,28.3667,129.4833,62.89,58,72,15.79,broken clouds
338,Lahaina,US,20.8783,-156.6825,78.04,81,57,15.26,broken clouds
339,San Jose,US,37.3394,-121.895,49.24,79,40,4.0,scattered clouds
340,Sistranda,NO,63.7256,8.834,19.36,73,4,13.06,clear sky
341,Vao,NC,-22.6667,167.4833,75.85,68,19,9.84,few clouds
342,Parnu-Jaagupi,EE,58.6105,24.5069,19.33,96,100,5.32,overcast clouds
343,Yemelyanovo,RU,56.1681,92.6767,-10.39,84,100,2.24,mist
344,Pangody,RU,65.85,74.4859,-20.34,99,59,3.49,broken clouds
345,Isangel,VU,-19.55,169.2667,82.2,63,1,11.95,clear sky
346,Mahebourg,MU,-20.4081,57.7,77.25,78,40,9.22,scattered clouds
