City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
543,Skorodnoye,RU,2022-12-08 02:33:44,51.071,37.2276,-6.58,92,100,6.52
544,Along,IN,2022-12-08 02:33:45,28.1667,94.7667,18.58,44,5,0.29
545,Yenagoa,NG,2022-12-08 02:33:46,4.9247,6.2642,23.99,93,85,1.33
546,Jinchang,CN,2022-12-08 02:33:48,38.4953,102.1739,-1.7,48,57,2.57
547,Kushima,JP,2022-12-08 02:33:48,31.4583,131.2333,15.28,54,56,1.62
548,Oistins,BB,2022-12-08 02:29:46,13.0667,-59.5333,24.73,88,20,3.09
549,Ilo,PE,2022-12-08 02:33:50,-17.6394,-71.3375,19.87,82,100,2.4
550,Ambilobe,MG,2022-12-08 02:33:51,-13.2,49.05,23.05,85,0,1.01
551,Merrill,US,2022-12-08 02:35:34,45.1805,-89.6835,-7.84,85,0,0.0
552,Gornoye Loo,RU,2022-12-08 02:35:34,43.7129,39.6049,7.88,63,87,2.12
553,Konevo,RU,2022-12-08 02:35:35,62.1215,39.3192,-8.78,83,16,4.43
554,Busayra,JO,2022-12-08 02:35:36,30.7376,35.6078,8.3,78,0,0.56
555,Bati,ET,2022-12-08 02:35:37,11.1833,40.0167,13.79,49,6,0.84
556,Tubuala,PA,2022-12-08 02:35:37,9.5167,-79.0333,26.95,75,7,6.13
557,Concordia,AR,2022-12-08 02:35:38,-31.393,-58.0209,28.77,42,100,4.92
558,Honiara,SB,2022-12-08 02:35:10,-9.4333,159.95,29.03,75,93,1.36
559,Sungaipenuh,ID,2022-12-08 02:36:40,-2.0833,101.3833,23.28,75,100,1.47
560,Nerchinskiy Zavod,RU,2022-12-08 02:36:40,51.3088,119.61,-20.9,97,85,1.76
561,Dargaville,NZ,2022-12-08 02:32:26,-35.9333,173.8833,16.63,85,97,6.79
562,Chernenko,RU,2022-12-08 02:36:42,44.365,39.3103,4.51,78,100,1.11
563,Santander,ES,2022-12-08 02:36:42,43.4647,-3.8044,13.03,91,20,3.13
564,Bogorodskoye,RU,2022-12-08 02:36:43,56.55,37.8833,-9.08,83,100,7.59
565,Lazaro Cardenas,MX,2022-12-08 02:35:27,17.9583,-102.2,24.64,83,8,1.45
566,Eyl,SO,2022-12-08 02:36:44,7.9803,49.8164,23.42,83,97,5.58
567,Juegang,CN,2022-12-08 02:36:45,32.3174,121.1855,14.39,75,100,2.95
568,Andros Town,BS,2022-12-08 02:36:46,24.7,-77.7667,23.98,67,3,8.58
