City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Gaoua,BF,71.46,clear sky,10.2992,-3.2508,No hotel found
161,Ouallam,NE,68.41,broken clouds,14.3188,2.0866,No hotel found
162,Misratah,LY,65.07,clear sky,32.3754,15.0925,الفندق السياحى
163,Sao Joao Da Barra,BR,75.56,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
165,Ponta Do Sol,PT,72.72,light rain,32.6667,-17.1,Estalagem Ponta do Sol
166,Ancud,CL,54.28,overcast clouds,-41.8697,-73.8203,Cabañas
167,Nioki,CD,69.85,moderate rain,-2.7167,17.6833,No hotel found
168,Wanning,CN,64.81,few clouds,18.8003,110.3967,No hotel found
170,Mitsamiouli,KM,79.92,light rain,-11.3847,43.2844,Hotel le Paradis
171,Claveria,PH,76.91,overcast clouds,18.6074,121.0832,Lakay-Lakay Beach Resort
172,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Central Hôtel
174,Faanui,PF,77.52,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
177,Pandharpur,IN,70.59,overcast clouds,17.6667,75.3333,No hotel found
178,Coihaique,CL,56.01,overcast clouds,-45.5752,-72.0662,No hotel found
179,Bilma,NE,66.33,overcast clouds,18.6853,12.9164,No hotel found
181,Esperance,AU,64.96,overcast clouds,-33.8667,121.9,Best Western
184,Mount Gambier,AU,55.04,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
187,Alofi,NU,77.95,broken clouds,-19.0595,-169.9187,No hotel found
190,Gushikawa,JP,69.03,broken clouds,26.3544,127.8686,No hotel found
195,Amarillo,US,54.23,clear sky,35.222,-101.8313,Embassy Suites
196,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
197,Sulangan,PH,81.5,overcast clouds,11.1373,123.7228,Marion's Inn
198,Nouadhibou,MR,70.36,clear sky,20.931,-17.0347,Hotel valencia
199,Tomatlan,MX,70.03,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
200,Sibolga,ID,76.48,overcast clouds,1.7427,98.7792,Hotel Prima Indah
201,Russell,US,58.96,scattered clouds,32.3502,-85.1999,No hotel found
202,Cabo San Lucas,MX,74.52,overcast clouds,22.8909,-109.9124,Comfort Rooms
207,Santa Maria,BR,65.79,scattered clouds,-29.6842,-53.8069,Hotel Morotin
211,Kutum,SD,56.62,broken clouds,14.2,24.6667,No hotel found
213,Dingle,PH,82.98,broken clouds,10.9995,122.6711,No hotel found
216,Tuatapere,NZ,73.8,broken clouds,-46.1333,167.6833,No hotel found
217,Rio Grande,BR,63.0,overcast clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
218,Karwar,IN,75.85,broken clouds,14.8,74.1333,No hotel found
222,Ndele,CF,69.15,clear sky,8.4109,20.6473,No hotel found
223,Itacare,BR,77.23,scattered clouds,-14.2775,-38.9967,Pousada Raisis
224,Taree,AU,79.07,clear sky,-31.9,152.4667,No hotel found
227,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel Iberia
228,Guerrero Negro,MX,60.13,clear sky,27.9769,-114.0611,Plaza sal paraiso
229,Saurimo,AO,64.15,light rain,-9.6608,20.3916,Complexo Hoteleiro de Saurimo
231,Gua Musang,MY,77.27,overcast clouds,4.8823,101.9644,Hotel Usaha
232,Jala,MX,61.3,scattered clouds,21.0833,-104.4333,No hotel found
234,Lotofaga,WS,87.58,scattered clouds,-13.9764,-171.8578,No hotel found
238,Tabuk,PH,74.16,overcast clouds,17.4189,121.4443,Davidson Hotel
239,Muros,ES,62.83,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
243,Touros,BR,78.08,broken clouds,-5.1989,-35.4608,Pousada Atlântico
246,Moindou,NC,81.37,clear sky,-21.6924,165.677,No hotel found
251,Casino,AU,77.56,broken clouds,-28.8667,153.05,No hotel found
252,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
