City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
410,Hobyo,SO,77.58,clear sky,5.3505,48.5268,No hotel found
412,Cidreira,BR,69.49,overcast clouds,-30.1811,-50.2056,Hotel Castelo
413,Ponta Delgada,PT,63.5,scattered clouds,37.7333,-25.6667,Hotel Talisman
417,Mahibadhoo,MV,81.0,overcast clouds,3.7833,72.9667,Coral View Inn
419,Pontes E Lacerda,BR,74.32,overcast clouds,-15.2261,-59.3353,Hotel Avenida
420,Innisfail,AU,87.44,overcast clouds,-17.5333,146.0333,No hotel found
422,Ariquemes,BR,73.74,few clouds,-9.9133,-63.0408,Aquarius
424,Xapuri,BR,71.8,overcast clouds,-10.6517,-68.5044,Pousada Chapurys
427,Tchibanga,GA,70.3,overcast clouds,-2.85,11.0333,No hotel found
429,Carutapera,BR,78.1,overcast clouds,-1.195,-46.02,No hotel found
432,Zemio,CF,71.2,overcast clouds,5.0314,25.1361,No hotel found
433,Vaitape,PF,77.58,overcast clouds,-16.5167,-151.75,Oa Oa Lodge
434,Buchanan,LR,77.23,light rain,5.8808,-10.0467,Phillipmena's Guesthouse
437,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,No hotel found
438,Santa Isabel Do Rio Negro,BR,72.81,overcast clouds,-0.4139,-65.0192,Hotel Maikon
440,Acapetahua,MX,73.92,broken clouds,15.2833,-92.7,No hotel found
442,Riyadh,SA,57.34,overcast clouds,24.6877,46.7219,White Palace Hotel
443,Chhachhrauli,IN,53.6,clear sky,30.25,77.3667,No hotel found
448,Navalmoral De La Mata,ES,60.03,overcast clouds,39.8916,-5.5406,Hotel Moya
449,Granville,AU,85.21,clear sky,-33.8333,151.0167,APX Parramatta
451,Sinnamary,GF,76.68,overcast clouds,5.3833,-52.95,Hôtel du fleuve
454,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Terra Sur
455,Mahanoro,MG,72.7,light rain,-19.9,48.8,Vanilla Bungalow
456,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
457,Aflao,TG,80.06,broken clouds,6.116,1.1914,Liberty Hotel
458,Sasayama,JP,53.11,broken clouds,35.0667,135.2167,篠山城下町ホテル NIPPONIA シオン
460,Necochea,AR,54.1,few clouds,-38.5473,-58.7368,Cabañas Río Quequén
461,Salina,US,50.95,mist,38.8403,-97.6114,Baymont
462,Carlsbad,US,52.63,few clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
463,Dinghai,CN,54.52,broken clouds,26.2847,119.7936,No hotel found
464,Bahile,PH,85.87,overcast clouds,9.9995,118.7878,No hotel found
465,Kalmunai,LK,76.8,overcast clouds,7.4167,81.8167,Saji new food
466,Monrovia,LR,74.97,clear sky,6.3005,-10.7969,Bella Casa Hotel
467,Mabaruma,GY,73.02,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
468,Rawson,AR,71.15,clear sky,-43.3002,-65.1023,Hotel Deportivo
469,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Cape Garden
471,Dali,CN,50.52,clear sky,25.7,100.1833,风花雪月大酒店
475,Charlestown,AU,82.02,clear sky,-32.95,151.6667,Warners Bay Hotel
476,Fethiye,TR,55.27,scattered clouds,36.6217,29.1164,No hotel found
477,Batemans Bay,AU,69.1,clear sky,-35.7167,150.1833,Esplanade Hotel
480,Paramonga,PE,69.08,overcast clouds,-10.6667,-77.8333,Hotel Rico
483,Grand-Santi,GF,71.44,overcast clouds,4.25,-54.3833,No hotel found
484,Avila,ES,50.9,overcast clouds,40.5833,-5.0,El Carrascal
486,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Tropic Hotel
487,Avera,US,53.11,overcast clouds,33.194,-82.5271,No hotel found
491,Port Augusta,AU,71.85,clear sky,-32.5,137.7667,Hotel Commonwealth
492,Samarai,PG,84.22,overcast clouds,-10.6167,150.6667,No hotel found
493,Buckeye,US,55.83,light rain,33.3703,-112.5838,No hotel found
494,Kabanjahe,ID,65.55,overcast clouds,3.1001,98.4908,Guesthouse Simole
495,Teahupoo,PF,67.96,light rain,-17.8333,-149.2667,Vanira Lodge
496,Prestea,GH,74.35,clear sky,5.4327,-2.1428,Akapii Hotel
497,Tuy Hoa,VN,72.12,overcast clouds,13.0833,109.3,Vinh Tuan Hotel
498,Iranshahr,IR,53.94,clear sky,27.2025,60.6848,هتل قصِر
501,Hualmay,PE,69.04,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
503,Marsa Matruh,EG,62.53,broken clouds,31.3525,27.2453,صقور
504,Manzanillo,CU,73.8,broken clouds,20.3433,-77.1167,Hotel Venus
505,Manacapuru,BR,76.75,broken clouds,-3.2997,-60.6206,Novo Hotel
511,Bhatkal,IN,76.5,overcast clouds,13.9667,74.5667,Sree Mahasati Store And Tea Hotel
512,Bulembu,SZ,61.79,overcast clouds,-25.9667,31.1333,Bulembu Lodge
513,Nioro,GM,71.46,clear sky,13.35,-15.75,No hotel found
514,Benjamin Constant,BR,77.13,light rain,-4.3831,-70.0311,No hotel found
517,Mkushi,ZM,61.84,scattered clouds,-13.6202,29.3939,Shalom Lodge
521,Bharatpur,IN,57.83,clear sky,27.2167,77.4833,Pelican
523,Kieta,PG,84.02,light rain,-6.2167,155.6333,No hotel found
525,Bonwapitse,BW,69.89,light rain,-23.0766,26.7037,No hotel found
526,Bonthe,SL,78.39,clear sky,7.5264,-12.505,No hotel found
528,Tacuarembo,UY,64.27,clear sky,-31.7333,-55.9833,Hotel Carlos Gardel
529,Plettenberg Bay,ZA,68.07,scattered clouds,-34.0527,23.3716,Milkwood Manor
533,Coxim,BR,82.06,overcast clouds,-18.5067,-54.76,Avendita
536,Tartus,SY,62.24,overcast clouds,34.889,35.8866,شاهين القديم
538,Alexandria,EG,66.67,overcast clouds,31.2156,29.9553,Smoha Zahran Haus (7th floor)
539,Buin,CL,79.74,clear sky,-33.7333,-70.75,No hotel found
541,Aloleng,PH,81.95,overcast clouds,16.1307,119.7824,No hotel found
542,Palasa,IN,73.72,clear sky,18.7667,84.4167,No hotel found
543,Puerto Suarez,BO,80.02,overcast clouds,-18.95,-57.8,No hotel found
544,Dunedin,NZ,61.81,broken clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
545,Oyem,GA,67.28,broken clouds,1.5995,11.5793,Mvett Palace
546,Asfi,MA,64.85,broken clouds,32.2994,-9.2372,Golden Tulip Farah Safi
547,San Nicolas,PH,85.91,scattered clouds,18.1725,120.5953,Mira de Polaris Hotel
548,Itaituba,BR,73.27,overcast clouds,-4.2761,-55.9836,TG Hotel
549,Ambilobe,MG,73.49,scattered clouds,-13.2,49.05,Hôtel National
550,Burnie,AU,51.17,overcast clouds,-41.0667,145.9167,Burnie Central TownHouse Hotel
551,La Libertad,EC,71.49,few clouds,-2.2333,-80.9,Hotel Mar Caribe
553,Kokopo,PG,81.14,light rain,-4.352,152.2633,Hotel Kokopo
554,Kerur,IN,69.01,overcast clouds,16.0167,75.5667,No hotel found
555,Muncar,ID,84.51,overcast clouds,-8.4333,114.3333,No hotel found
556,Warragul,AU,61.11,overcast clouds,-38.1667,145.9333,Mercure Hotel
557,Kaptanganj,IN,58.59,clear sky,26.9267,83.7153,No hotel found
558,Guane,CU,69.8,few clouds,22.2025,-84.0875,No hotel found
560,Lafia,NG,73.44,clear sky,8.4833,8.5167,No hotel found
561,Rocha,UY,55.96,clear sky,-34.4833,-54.3333,Hotel Municipal
562,Biak,ID,80.04,overcast clouds,-0.9131,122.8766,No hotel found
563,Bandarbeyla,SO,74.95,few clouds,9.4942,50.8122,No hotel found
565,Mercedes,AR,64.85,clear sky,-34.6515,-59.4307,Gran Hotel Mercedes
566,Sur,OM,72.63,clear sky,22.5667,59.5289,Sur Hotel
568,Calvia,ES,68.07,overcast clouds,39.5657,2.5062,No hotel found
570,Bull Savanna,JM,72.97,light rain,17.8868,-77.5902,Junction Guest House
571,Merauke,ID,85.77,overcast clouds,-8.4667,140.3333,No hotel found
572,Palauig,PH,83.53,overcast clouds,15.435,119.9045,No hotel found
573,Payyannur,IN,74.61,overcast clouds,12.1,75.2,Hotel passport
574,Los Llanos De Aridane,ES,70.12,few clouds,28.6585,-17.9182,Valle Aridane
575,Goundam,ML,69.35,few clouds,16.4145,-3.6708,No hotel found
576,Thabazimbi,ZA,69.28,light rain,-24.5917,27.4116,Maroela Guest Lodge
578,Manggar,ID,83.93,overcast clouds,-2.8833,108.2667,No hotel found
580,Fez,MA,59.25,scattered clouds,34.0372,-4.9998,Maghreb Hôtel
581,Batticaloa,LK,77.36,broken clouds,7.7102,81.6924,Lake View Hotel
587,Portel,BR,75.85,scattered clouds,-1.9356,-50.8211,No hotel found
588,Puerto Carreno,CO,76.95,overcast clouds,6.189,-67.4859,Carreño Plaza
591,Hoa Binh,VN,64.47,clear sky,20.8133,105.3383,Hải Dương
592,Asilah,MA,67.96,broken clouds,35.465,-6.0348,Hotel Las Palmas
593,Doka,SD,72.75,clear sky,13.5167,35.7667,No hotel found
599,Moron,AR,67.98,clear sky,-34.6534,-58.6198,La Esquina
600,Lockhart,US,64.92,clear sky,28.6194,-81.4426,Geneva Motel
601,Sorong,ID,82.15,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
